Country,Year,GDP,Population,Urban_Population,Electricity_Access,Urban_Electricity_Acess,Brightness,UPC,EAC,BC,int_B_UP,int_B_EA,int_UP_EA,int_ALL
Afghanis,2019,23.65709316,17.44930327,16.09272307,4.592084946,4.610157727,11.51811767,0.4770080700000019,0.2001689459999998,-0.6983273299999997,-0.3331077719115543,-0.13978344560909398,0.0954822026053945,-0.06667783160794416
Afghanis,2020,23.71679213,17.48083936,16.13476524,4.592084946,4.610157727,11.58213008,0.5190502400000003,0.2001689459999998,-0.6343149199999996,-0.32924131146158075,-0.1269701489684741,0.103897739461847,-0.06590388629492228
Afghanis,2021,23.38072393,17.50440034,16.1693313,4.592084946,4.610157727,11.49768841,0.5536162999999998,0.2001689459999998,-0.7187565899999999,-0.39791536395641686,-0.14387274905085398,0.11081679125941965,-0.07965029900036226
Afghanis,2022,23.39722439,17.51875738,16.19509984,4.457829598,4.573679519,11.295876,0.5793848400000012,0.06591359799999985,-0.9205690000000004,-0.5333637227739614,-0.06067801499726189,0.03818933943105431,-0.035155922010706254
Afghanis,2023,23.57009498,17.54011332,16.22829552,4.457829598,4.574710979,11.47959729,0.6125805199999999,0.06591359799999985,-0.736847710000001,-0.45137855335260973,-0.04856828374416054,0.04037738613791086,-0.029751984511505403
Albania,2019,23.4695815,14.86429935,14.37375054,4.615120517,4.615120517,11.55996611,-1.2419644600000002,0.2232045170000001,-0.6564788900000007,0.8153234501202504,-0.14652905356314636,-0.277212077425466,0.18198387688286416
Albania,2020,23.4472851,14.85855728,14.38232665,4.615120517,4.615120517,11.63811069,-1.2333883500000002,0.2232045170000001,-0.5783343100000007,0.7133108003592895,-0.1290868303280785,-0.2752978509351771,0.1592141926650787
Albania,2021,23.61541438,14.8492881,14.38676069,4.615120517,4.615120517,11.76321186,-1.2289543100000007,0.2232045170000001,-0.45323314000000003,0.5570028208378337,-0.10116368410209343,-0.27430815317861856,0.12432554559274628
Albania,2022,23.66861191,14.8371302,14.38769785,4.615120517,4.615120517,11.7724852,-1.2280171499999994,0.2232045170000001,-0.4439598,0.5451902483105697,-0.09909383272641666,-0.27409897483346657,0.12168892604727086
Albania,2023,23.8822719,14.82564603,14.38873673,4.615120517,4.615120517,11.86323126,-1.22697827,0.2232045170000001,-0.35321374000000105,0.4333855836454311,-0.07883890223446385,-0.2738670921248457,0.0967336198723416
Algeria,2019,25.98833486,17.58353725,17.2714122,4.610157727,4.613138356,15.07260634,1.6556972000000005,0.21824172699999966,2.85616134,4.72893833338625,0.6233335834322332,0.361342216317064,1.0320516687547152
Algeria,2020,25.82844384,17.60065637,17.29593665,4.6121458,4.614129927,15.03947994,1.6802216500000018,0.22022980000000025,2.8230349399999994,4.743324424894455,0.6217164202292126,0.3700348779351708,1.0446213894296221
Algeria,2021,25.95025478,17.61685002,17.31926576,4.613138356,4.615120517,14.97489169,1.7035507600000006,0.22122235600000018,2.7584466899999995,4.699153955168986,0.610230075662202,0.376863512692791,1.0395579091692022
Algeria,2022,26.14219981,17.63272584,17.34199913,4.615120517,4.615120517,15.04759483,1.7262841300000016,0.2232045170000001,2.8311498299999993,4.887369021181201,0.6319254303597822,0.38531441544141576,1.0908828417735132
Algeria,2023,26.23518603,17.6477156,17.36360049,4.615120517,4.615120517,15.1201924,1.7478854899999998,0.2232045170000001,2.9037474000000003,5.075417947085226,0.6481295359070062,0.3901359365667585,1.13285621145229
Angola,2019,24.98450754,17.29291663,16.88007943,3.841600541,4.293195421,12.57965324,1.2643644299999988,-0.5503154590000001,0.3632082400000005,0.4592275793389034,-0.19987910930818248,-0.6957992916387228,-0.25272003610934757
Angola,2020,24.60486182,17.32559622,16.92250331,3.871201011,4.312140507,12.49514204,1.30678831,-0.520714989,0.27869703999999906,0.36419803390360117,-0.1451217261179321,-0.6804642604669786,-0.1896433752179353
Angola,2021,24.92054492,17.35740944,16.96377412,3.895893623,4.33073334,12.55974499,1.3480591200000003,-0.49602237700000007,0.3432999900000002,0.4627886824154092,-0.17028447706387637,-0.6686674890389285,-0.2295535423003894
Angola,2022,25.37149309,17.3888397,17.0043677,3.90197267,4.346399457,12.6087403,1.3886526999999997,-0.48994333,0.3922952999999989,0.5447619275423083,-0.19220246562534846,-0.6803611280514908,-0.2669024728372973
Angola,2023,25.16385207,17.41964625,17.04405057,3.953164949,,12.56299462,1.4283355699999998,-0.4387510510000001,0.34654961999999934,0.4949891490159824,-0.15204900999865037,-0.6266837325181841,-0.21717700936435794
Argentin,2019,26.82751134,17.62158323,17.53810379,4.615120517,4.615120517,15.23495738,1.9223887900000012,0.2232045170000001,3.0185123800000007,5.802754361788225,0.673745597836421,0.4290858613581649,1.2952009845925847
Argentin,2020,26.67843072,17.62642989,17.54425408,4.615120517,4.615120517,15.20685135,1.928539080000002,0.2232045170000001,2.9904063500000007,5.767115511055165,0.6674722049854834,0.430458633867025,1.287246232128277
Argentin,2021,26.91063446,17.62908868,17.54819312,4.615120517,4.615120517,15.19930116,1.9324781200000007,0.2232045170000001,2.982856159999999,5.76430426430722,0.6657869684732748,0.4313378453876684,1.2866187491557337
Argentin,2022,27.17340456,17.63119677,17.5515798,4.615120517,4.615120517,15.26590409,1.9358647999999992,0.2232045170000001,3.049459089999999,5.903340511371028,0.6806530432947097,0.4320937676613016,1.3176522675271038
Argentin,2023,27.19418186,17.63406653,17.55570491,4.615120517,4.615120517,15.29440723,1.9399899099999995,0.2232045170000001,3.077962229999999,5.971215669561095,0.687015072891393,0.43301451084642356,1.3328023094272166
Armenia,2019,23.33475305,14.9015444,14.44297937,4.615120517,4.615120517,10.6286819,-1.17273563,0.2232045170000001,-1.5877631,1.8620263593692532,-0.3543958958459229,-0.2617598898628408,0.41561269418428276
Armenia,2020,23.2602666,14.90120679,14.44412722,4.615120517,4.615120517,10.722437,-1.1715877799999994,0.2232045170000001,-1.494008000000001,1.75036151602224,-0.33346933403413637,-0.26150368455800227,0.3906885967591321
Armenia,2021,23.35363616,14.90147689,14.44625986,4.615120517,4.614129927,10.93380518,-1.1694551400000002,0.2232045170000001,-1.28263982,1.499989730267675,-0.2862910015080671,-0.2610276696768675,0.3348044832493568
Armenia,2022,23.69437271,14.90380345,14.45082257,4.615120517,4.615120517,11.03904044,-1.16489243,0.2232045170000001,-1.1774045599999994,1.3715496589914802,-0.2628020161283975,-0.26000925219510646,0.3061360791767082
Armenia,2023,23.9048862,14.91108524,14.46071199,4.615120517,4.615120517,11.23946614,-1.1550030099999997,0.2232045170000001,-0.9769788600000009,1.1284135240063693,-0.21806609456551093,-0.25780188898059625,0.25186699560210973
Australi,2019,27.96228254,17.04769057,16.89830853,4.615120517,4.615120517,14.18453088,1.2825935300000015,0.2232045170000001,1.9680858800000003,2.52425421617236,0.4392856582599202,0.28628066937097546,0.5634249431059654
